trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.8}",20,9,-69.69340768738353,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.6400000000000001}",30,0,-181.27822638650852,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.8, 'e': 0.5120000000000001}",20,11,-27.080323938810675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.8, 'e': 0.4096000000000001}",20,0,-179.4960355958742,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",1
5,False,"{'a': 0.8, 'e': 0.3276800000000001}",20,0,-158.42805551982406,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.2621440000000001}",25,8,17.969123370201693,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.20971520000000007}",20,0,5.563106811676415,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.1677721600000001}",25,0,-79.68850157484835,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.13421772800000006}",20,8,-0.30416326769391655,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.10737418240000006}",30,16,1.5614973256718692,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.08589934592000005}",25,11,14.592056572255895,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.06871947673600004}",25,10,-44.316721801518575,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.8, 'e': 0.054975581388800036}",25,8,27.100575641879892,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.043980465111040035}",25,0,-14.905978459020533,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.03518437208883203}",35,12,9.433591368839094,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.028147497671065624}",30,0,13.650145363828788,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.022517998136852502}",25,0,-44.767208926640606,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.018014398509482003}",30,17,3.996268082769125,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.014411518807585602}",25,0,20.792791449888643,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.011529215046068483}",20,0,7.288430036792614,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,9,18.59081516702637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,4,27.980182700384837,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,1,-30.27599543084999,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",35,17,9.890721220944098,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,31.820900556200627,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,31.569286115162093,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,22,12.551043059173395,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,15,8.50829245907208,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-29.05608523250613,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,11,15.291077817501375,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
