trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99}",20,0,-169.00134378550862,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.9801}",20,0,-54.546826656336684,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9702989999999999}",25,0,-148.50678827189907,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.96059601}",20,0,-70.22637132806283,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9509900498999999}",20,0,-90.912638287782,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.9414801494009999}",20,0,-111.26530074696913,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9320653479069899}",20,0,-61.455246993976694,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.92274469442792}",30,0,-162.85190097075548,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.9135172474836407}",30,13,-48.090746162478666,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.9, 'e': 0.9043820750088043}",30,0,-97.61230723203914,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.8953382542587163}",25,0,-53.119547153619365,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.8863848717161291}",20,0,-183.02080100990884,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.9, 'e': 0.8775210229989678}",30,0,-199.82484824975393,"{0: 17, 1: 3, 2: 4, 3: 4, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.8687458127689781}",25,0,-108.96152361891501,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.8600583546412883}",20,0,-114.27904787381028,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.8514577710948754}",20,0,-123.6652407085747,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.9, 'e': 0.8429431933839266}",30,0,-100.98795478487813,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.8345137614500874}",25,11,-15.05001173510787,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.8261686238355865}",20,0,-77.63410174125403,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.8179069375972307}",20,16,7.103006964401871,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.9, 'e': 0.8097278682212583}",35,4,-182.599900108364,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 2}",1
22,False,"{'a': 0.9, 'e': 0.8016305895390458}",30,14,-31.52171131377247,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.7936142836436553}",20,1,-12.527491145302449,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.7856781408072188}",25,0,-40.43820104630469,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.9, 'e': 0.7778213593991465}",25,0,-125.91580274339957,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.9, 'e': 0.7700431458051551}",25,0,-129.63742053318728,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.7623427143471035}",25,0,-93.56193549635643,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.7547192872036325}",30,15,-55.91997865024365,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.7471720943315961}",30,13,-87.87276764224684,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
30,False,"{'a': 0.9, 'e': 0.7397003733882802}",25,0,-64.79274824625745,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.7323033696543974}",20,0,-98.05791775308961,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
