/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'forward', 'left')
 -- None : 0.00
 -- forward : 1.13
 -- right : 0.54
 -- left : -20.48

('right', 'green', 'forward', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'forward', None)
 -- None : -4.15
 -- forward : 0.26
 -- right : 1.55
 -- left : 0.00

('left', 'red', 'right', 'left')
 -- None : 2.18
 -- forward : -7.44
 -- right : 0.00
 -- left : -31.32

('right', 'green', 'right', 'forward')
 -- None : -4.36
 -- forward : 0.00
 -- right : 1.30
 -- left : -20.02

('left', 'red', 'right', 'right')
 -- None : 0.00
 -- forward : -8.56
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'forward')
 -- None : 2.06
 -- forward : -39.02
 -- right : -20.07
 -- left : -38.92

('right', 'green', 'right', None)
 -- None : -3.57
 -- forward : 0.83
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'right')
 -- None : 0.00
 -- forward : -7.97
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'right')
 -- None : 0.00
 -- forward : 0.78
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'left')
 -- None : -5.66
 -- forward : 0.36
 -- right : 1.33
 -- left : 0.97

('left', 'red', 'left', 'forward')
 -- None : 2.23
 -- forward : -31.78
 -- right : -16.02
 -- left : 0.00

('left', 'green', 'left', 'forward')
 -- None : -4.34
 -- forward : -0.14
 -- right : -0.15
 -- left : 2.00

('right', 'red', 'left', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -32.29

('right', 'red', 'right', 'forward')
 -- None : 0.00
 -- forward : -31.29
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'forward')
 -- None : 0.21
 -- forward : -40.07
 -- right : -18.94
 -- left : -39.42

('right', 'green', 'left', None)
 -- None : -4.81
 -- forward : 1.19
 -- right : 2.37
 -- left : 0.51

('left', 'green', 'left', 'left')
 -- None : -4.46
 -- forward : 0.49
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -16.54

('right', 'green', 'forward', 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.49
 -- left : -15.61

('left', 'green', 'right', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'left')
 -- None : 0.85
 -- forward : -7.82
 -- right : -0.62
 -- left : -10.53

('left', 'green', None, 'forward')
 -- None : -4.21
 -- forward : 0.46
 -- right : -0.02
 -- left : 1.99

('left', 'green', 'right', None)
 -- None : -5.54
 -- forward : 0.76
 -- right : 0.00
 -- left : -20.05

('forward', 'red', 'left', None)
 -- None : 0.40
 -- forward : 0.00
 -- right : 0.02
 -- left : -10.84

('forward', 'green', 'right', 'forward')
 -- None : -4.03
 -- forward : 0.81
 -- right : 0.00
 -- left : -16.51

('right', 'green', 'left', 'left')
 -- None : -3.24
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', 'left')
 -- None : 0.00
 -- forward : -7.84
 -- right : 1.28
 -- left : -33.89

('right', 'red', None, 'right')
 -- None : -0.08
 -- forward : -10.24
 -- right : 0.00
 -- left : -7.48

('right', 'red', 'left', 'right')
 -- None : 0.00
 -- forward : -8.51
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'forward', 'forward')
 -- None : 0.81
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'forward', 'right')
 -- None : 1.49
 -- forward : -8.97
 -- right : 0.00
 -- left : -8.63

('right', 'red', 'right', None)
 -- None : 0.00
 -- forward : -7.86
 -- right : 1.87
 -- left : -37.84

('forward', 'red', 'forward', 'left')
 -- None : 1.66
 -- forward : 0.00
 -- right : -0.06
 -- left : 0.00

('forward', 'green', 'forward', 'right')
 -- None : -4.76
 -- forward : 2.20
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'right')
 -- None : 1.53
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'left', None)
 -- None : 1.21
 -- forward : -10.07
 -- right : -0.35
 -- left : -9.82

('forward', 'green', None, 'right')
 -- None : -4.51
 -- forward : 0.00
 -- right : -0.02
 -- left : 0.62

('forward', 'red', None, 'forward')
 -- None : 1.36
 -- forward : 0.00
 -- right : -16.34
 -- left : 0.00

('left', 'red', 'right', None)
 -- None : 2.39
 -- forward : -10.05
 -- right : 0.87
 -- left : -32.44

('left', 'green', None, None)
 -- None : -5.55
 -- forward : 0.65
 -- right : 0.50
 -- left : 1.35

('forward', 'green', 'forward', 'forward')
 -- None : -3.35
 -- forward : 0.00
 -- right : 0.00
 -- left : -16.28

('forward', 'green', 'left', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.43
 -- left : -16.14

('left', 'red', None, None)
 -- None : 2.57
 -- forward : -34.68
 -- right : 0.00
 -- left : -10.96

('forward', 'red', 'forward', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.41
 -- left : 0.00

('forward', 'red', 'left', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.51
 -- left : 0.00

('forward', 'green', 'left', 'left')
 -- None : -3.43
 -- forward : 0.88
 -- right : 0.89
 -- left : 0.00

('right', 'green', 'right', 'left')
 -- None : -3.21
 -- forward : 0.00
 -- right : 0.00
 -- left : -15.98

