trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.97}",30,0,-134.7543346847757,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.9409}",25,0,-103.25824925988968,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.912673}",25,0,-142.70761011962256,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.8852928099999999}",20,0,-122.29444347268971,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.8587340256999999}",20,0,-138.31131532931076,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.8329720049289999}",20,0,-35.31806214835999,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.8079828447811299}",30,0,-184.33976100577203,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.8, 'e': 0.783743359437696}",20,0,-37.724870281667194,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.7602310586545651}",20,0,-66.76634159445138,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.7374241268949281}",20,0,-171.58814817937008,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.7153014030880802}",30,21,-24.747583609170768,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.6938423609954378}",30,0,-222.63326480426244,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 4}",0
13,False,"{'a': 0.8, 'e': 0.6730270901655747}",25,0,-70.1704307072936,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.6528362774606075}",25,16,10.841521659383119,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.6332511891367892}",30,0,-245.00602918086108,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
16,False,"{'a': 0.8, 'e': 0.6142536534626856}",20,0,-4.003636555644524,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.595826043858805}",20,0,-196.0056695025094,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
18,False,"{'a': 0.8, 'e': 0.5779512625430409}",20,0,-3.0299101675895033,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.5606127246667496}",20,0,-73.74328290406037,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.5437943429267471}",20,0,-42.28808320277103,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.5274805126389447}",25,0,-27.98128485797485,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.5116560972597763}",30,10,-26.70724376252121,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.496306414341983}",30,0,-34.185353965677216,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.48141722191172354}",20,0,-70.65382293461626,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.4669747052543718}",30,1,-89.7675396298449,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 2}",1
26,False,"{'a': 0.8, 'e': 0.4529654640967406}",20,10,-64.3472804821082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
27,False,"{'a': 0.8, 'e': 0.4393765001738384}",20,0,-55.70172038485466,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.42619520516862325}",25,13,-10.426694088381698,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.4134093490135645}",30,5,-71.28058165116167,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",1
30,False,"{'a': 0.8, 'e': 0.4010070685431576}",20,0,7.198914792713045,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.38897685648686287}",20,13,13.427766065254573,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.8, 'e': 0.377307550792257}",20,5,17.927656407540265,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.36598832426848926}",20,0,-30.757078046289955,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.35500867454043455}",20,0,-32.12947833585583,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.3443584143042215}",30,14,3.231462910813809,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.8, 'e': 0.3340276618750948}",20,4,-1.2588839102286629,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.32400683201884195}",30,0,24.968686700480905,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.8, 'e': 0.3142866270582767}",20,0,-39.13057710755909,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.3048580282465284}",20,0,-8.615969036059964,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
40,False,"{'a': 0.8, 'e': 0.2957122873991326}",25,13,24.066342050410768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.8, 'e': 0.2868409187771586}",30,0,22.50337837215929,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.27823569121384384}",25,0,-8.427079130672139,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.8, 'e': 0.2698886204774285}",20,16,5.66828387408116,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.26179196186310566}",20,0,-102.35249675178729,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.8, 'e': 0.2539382030072125}",25,0,-58.911194152094716,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
46,False,"{'a': 0.8, 'e': 0.2463200569169961}",20,15,-2.715386716951987,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.23893045520948622}",20,5,11.51987251535009,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.23176254155320164}",30,11,-19.338716777883764,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.8, 'e': 0.2248096653066056}",20,12,-7.2746282570966905,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.21806537534740741}",25,0,22.014531415222375,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.2115234140869852}",20,10,-1.169766309315557,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.20517771166437562}",20,3,-27.709520571480073,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.8, 'e': 0.19902238031444436}",20,2,17.15063654624915,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.19305170890501103}",20,10,6.765214359143,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.1872601576378607}",20,10,15.43842389491726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.18164235290872485}",20,14,10.940590000657252,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.1761930823214631}",25,19,9.528699237728093,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.17090728985181922}",20,10,15.855332200619959,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.16578007115626464}",20,14,-1.2974744012136668,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.1608066690215767}",20,14,14.040833203858078,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.1559824689509294}",20,9,15.993471358147135,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.1513029948824015}",25,16,9.564849627144746,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.14676390503592945}",25,15,6.169768034955999,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.14236098788485158}",20,7,12.989224877553523,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.13809015824830603}",25,8,26.287020490329105,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
